,ai-system-evaluation.additional-functionality
280,?
56,Na
15,na
175,N/a
243,idk
0,none
361,none
192,None
47,None
234,none
304,None
85,None
10,None
11,None
216,safety
282,search
182,visual
346,Unsure
316,reader
289,Nothing
54,no idea
118,sources
3,Article
153,Not sure
141,Nothing 
137,Not sure
218,research
271,Accuracy
198,not sure
332,Not sure
391,No notes
188,not sure
80,Resources
278,Not sure.
425,I cant say
152,Fact check
362,References
397,Not sure. 
417,Add google
313,match scan
103,fact check
221,Uncertain 
212,voiced AI.
418,Interaction
176,programmers
279,Refferences
275,Site listed
171,i dont know
201,i dont know
318,Data source
415,credibility
311,The source 
303,Source check
75,Add a source
25,Sources name
65,i don't know
273,Punctuation 
322,Adding dates
288,lastest data
209,Time travel 
206,I don't know
26,I don’t  know
95,I don't know 
222,read out loud
315,I am not sure
172,cited sources
135,Opinion poll 
16,No fake news!
336,source finder
247,Social media.
167,Fact checking
409,fact-checking
265,A fact checker
370,user interface
207,Resource check
262,SOurce Checker
266,Tone detection
292,Second option 
49,name the source
320,Not really sure
143,nothing really 
363,text to speech 
177,search function
202,Positive results
327,Cross references
92,A unsure option 
420,medial and techn
396,Links to sources
173,Links to sources
38,Adding in sources
119,Browser extension
398,Adding source url
385,Source information
298,See user comments 
412,Showing the source
325,source information
310,To see the source 
245,Key points summary 
324,age broups of users
323,Date of publication
350,This is good as is.
205,Nothing additional 
368,URL links to sources
422,pointing out sources
133,i dont have idea now
96,Sentiment detection 
76,Multi Article Compare
186,hover over info boxes
334,Cited sources section
89,A human fact checker.
259,additional information
228,links to other sources
380,2nd source comparisons
112,Rating of all sources.
264,verification of source
134,more reliable software
330,Display functionality. 
163,highlighting the errors
162,Putting the news source
341,Not sure at the moment 
122,It's good the way it is.
302,Explanation of decisions
22,links from other sources
179,Reveal source of article
17,read the article outloud
66,adding a list of sources
166,adding the news sources 
400,video report generation.
354,everything is good so far
401,Source citing with links.
297,I can't think of anything
115,reading the article aloud
389,Websites with information
108,Name of author of article
383,I can't think of anything
406,If the sources were added
263,Supporting documentation.
411,Original origin of source.
165,Options about the arricles
20,more info about the source
68,i think everything is good
151,The source of information. 
58,other articles relacionaded
353,Citation of news articles. 
348,Ability to cross reference 
193,Link to original publication
308,can't think of anything else
407,Links to source information.
60,name the source of infomation
144,Links provided for the source
242,Not sure additions are needed
390,Information about the writer.
369,To have it automate functions
39,Judging reliability of sources
424,Links to relevant information 
87,better way at obtain fake news
384,a link to the original article
244,cross-referencing capabilities
12,Article title links to address
254,"Spelling checks, source checks"
184,A link to the original article
32,Automatic deletion of fake news
299,Whoever wrote the fake articles
293,two different AI would be good.
105,I can't think of anything to add
395,nothing i can think of i like AI
382,Listing facts from other sources 
43,trustworthiness meter on articles
41,the actual naming of the sources 
189,Highlight sources of information.
57,Just a few side note or references
183,adding a grammar proofread feature
403,fake image or picture recognition 
74,Showing how AI came to that rating
55,Visibility in the criteria used.  
372,I cannot think of any at this time
91,Providing the source of the article
386,Stating the actual source correctly
146,I think the functionality is great.
376,Evaluation of inflammatory language
61,better information about the source
256,Can't think of anything immediatly.
29,Can't think of anything else to add
309,Info on those who programmed the AI
268,maybe a score of trust in publisher?
349,Having availability in smartphones. 
30,A link that takes you to the source 
45,addition of the author and publisher
342,I think the author's name might help.
116,Seeing the AI function in real time. 
248,tips that gives you a heads up or tips
187,the time it takes to read the article 
128,having other sources to prove validity
286,"not sure, it seems pretty comprehensive"
157,I don't think it needs a good addition 
129,Show the AI percentage rate of accuracy 
270,Having a sentence by sentence break down
44,To see why AI rated it the way they did.
114,Listing similar articles about the topic
393,A BACKGROUND OF THE SOURCE OF INFORMATION
194,Sponsor of article or where it was posted
305,Give insight to the bias of news sources.
416,Providing links to the source of the news
413,In broswer addon or drag and drop checking
339,Providing factual references to the claims
283,I cannot think of anything at this moment.
34,Follow up information to the main article.
23,Annotate hyperlinks from credible sources.
169,Acessing the writer of the article's biases
147,Providing more information regarding source.
