,ai-system-evaluation.criteria-to-judge-reliability
243,idk
85,None
3,News
26,Mind
182,depth
153,Source
91,Source
208,source
32,Source
58,contex
186,source
264,source
336,source
325,source
181,source
304,Source
171,source
273,Source
179,Source
11,Source
398,Source 
392,sources
118,sources
382,Source 
368,Sources
201,sources
422,sources
96,Grammar
147,Source.
360,source 
231,google 
52,Anything
141,Sources 
221,Not sure
316,timeline
80,Resources
103,the story
318,Knowledge
75,the source
425,The Source
146,the source
402,the source
68,the source
139,The source
33,The source
420,the source
30,The source
270,The source
202,The source
99,The source
21,The source
276,the  source
165,Comparison 
268,who made it
418,Comun sence
34,The source.
406,The soures.
310,The source 
248,word phrases
17,common sence
206,Consistency 
178,the contents
332,Belivability
293,The language
302,Common sense
41,the sources 
192,Who writes it
134,other sources
6,Truthfulness 
292,Common sense 
213,who its from.
47,Subject matter
216,other articles
417,I go to google
361,logical sources
246,"source, wording"
193,Cohesive intent
163,multiple sources
333,perceived biases
279,Comprehensiveness
260,My common sense. 
209,The use of words.
175,Publishing source
177,facts vs opinions
412,Who the source is
330,their reputation 
341,Where it came from
324,own knowledge base
60,source and context
70,Personal knowledge
71,Political balance. 
20,source and content 
16,Where it came from.
145,Context and Content
8,Emotional language.
135,Source and criteria
15,"currency, relevamcy"
421,lack of information 
347,Reputation of source
255,source credibility. 
259,proof of credibility
43,facts and statistics
285,I use the CRAAP test
370,"Source, publication."
239,The source and topic.
57,How real does it seem
380,reliability of source
383,"The source, SEO, tone"
44,Who is publishing it.
327,"Facts, accurate dates"
92,My memory and source 
110,sources and witnesses
101,My general knowledge 
116,Where it’s coming from
262,The Source of the news
405,Multiple news sources 
220,Checking other sources
277,Tone and inherent bias
394,The title of an article
173,Source and explanations
129,Check multiple sources 
167,Words of emotional bias
426,the validiy of the site
143,research in the sources 
29,Source and truthfulness 
83,The source it come from 
140,believablity and sources
95,It's information sources 
54,if the facts are credible
411,The source it comes from.
348,Citing sources and google
122,The source it comes from.
399,The source and the author
377,Known/Trusted brand/source
18,trusted source or evidence
224,"Sources, words, and facts "
187,the source of the article 
157,If it is a trustworthy site
416,"Language, name of the source"
323,The text and clues within it
274,"author, publisher of article"
298,Source and credible opinions 
386,The use of words in the story
39,Source of article and author 
363,the credibility of the source
354,date and source of the article
357,The name/history of the source
308,"resources, non-biased language"
86,Source and date of publication
56,If I’ve heard about it before 
320,Just look it up multiple sites
