,ai-system-evaluation.other-information-wish
326,N/a
3,Yes
6,Yes
243,idk
175,N/a
361,none
145,none
52,None
234,data
186,none
0,none
302,None
426,none
85,None
10,none
318,Data
416,Links
422,facts
103,dates
279,dates
96,Author
406,A link
304,Source
343,Sources
65,ratings
146,nothing
201,sources
273,Grammer
316,Sources
192,Nothing
26,Nothing 
153,Anything
382,Sources 
141,Nothing 
129,AI % rate
221,Uncertain
138,Citations
418,Timelines
271,References
68,the source
389,The author
80,Resources 
398,Source indo
24,Author name
405,Source name
270,THE SOURCES
419,True source
265,Author info
311,The source 
165,The article 
313,fact checked
336,fact checker
43,who wrote it
25,Sources name
282,cited sources
167,Fact checking
182,"numbers,depth"
386,Fact checking
228,other sources
118,cited sources
320,Nothing at all
401,Sources cited.
319,Article Author
331,Verified facts
363,publisher name
417,Is it dangerous
354,date and source
102,Original source
168,Call to actions 
327,Links to sources
423,Sources reliable
390,The writers bias
32,Actual Publisher
286,who is the source
107,Source of article
148,The Actual Source
142,None at this time
179,Author of article
47,Grammar mistakes 
202,First publication.
71,Related articles. 
177,Published location
122,sources or webpage
119,Journalist ratings
112,Supporting Sources
292,Dates and sources 
376,Number of comments
214,Maybe a source page
16,Writers background.
56,What site posted it
72,Food and Technology
140,citations or sources
385,Grammar and spelling
290,A link to the source.
12,Publisher information
420,more about the source
57,A few more references
171,who wrote the article
41,other trusted sources
100,the name of the source
39,The actual source name
147,Direct link to source.
87,everything was perfect.
17,the newspaper publisher
20,where it was published 
173,I love the explanations
288,reference to last data 
412,Name of the news source
415,Reliability of a article
166,the name of the sources 
277,The publication location
22,links from other sources
133,truthfulness of religion
92,If it has been verified 
218,Do the research yourself
33,The site that it is from
310,The website it came from
259,credibility of the source
91,The author of the article
285,The author of the article
75,Where the info comes from
284,Reading emotional driven 
369,what website it came from
116,The news source it’s froM
206,Interviews from witnesses 
345,The source webpage itself.
231,where Al got his info from
15,reliable quantitative data
393,LINKS TO SEARCH THE SOURCE
266,The tone detected by the AI
283,I cannot think of anything.
34,More details about sources.
409,reliable source information
303,The source website address.
83,Actual source material site 
78,Evidence of lies or mistruth
248,the detailed reading passage
255,opinion versus fact content.
120,Information about the author
61,where it was first published
84,The exact name of the source
204,Sources cited by the article
315,Maybe key words being used. 
11,Information about the source.
58,other articles that same kind
324,categorization by user groups
209,The date when they were said 
95,Sources of there information 
123,"Additional sources, and dates"
322,The source of the explanation
164,Links to any references cited
298,Comments from credible people.
339,References to outside sources/
280,more information on the source
414,a link to the original article
212,The source of the information.
54,a detail of what could be fake
18,Name of the source/publication
220,Fact checks from other sources.
49,where the article was published
64,maybe an author of the article 
291,The origin of the news article.
70,Its text and personal knowledge
263,More information on the source.
172,Whether there are sources cited
281,Where the article was published
274,where the article was published
194,Posting party/ sponsor/ journal
332,Corroboration from other sources
21,The actual source of the article
115,the actual source of the article
