,ai-system-evaluation.additional-functionality,no_addition,requests_explanation
280,?,1,0
15,na,1,0
56,Na,1,0
243,idk,1,0
175,N/a,1,0
192,None,1,0
234,none,1,0
361,none,1,0
304,None,1,0
47,None,1,0
11,None,1,0
10,None,1,0
85,None,1,0
0,none,1,0
316,reader,0,0
216,safety,0,0
282,search,0,0
346,Unsure,1,0
182,visual,0,0
3,Article,0,0
118,sources,0,0
289,Nothing,1,0
54,no idea,1,0
137,Not sure,1,0
153,Not sure,1,0
271,Accuracy,0,0
141,"Nothing ",1,0
332,Not sure,1,0
198,not sure,1,0
391,No notes,1,0
218,research,0,0
188,not sure,1,0
278,Not sure.,1,0
80,Resources,0,0
103,fact check,0,0
152,Fact check,0,0
221,"Uncertain ",1,0
362,References,0,0
397,"Not sure. ",1,0
313,match scan,0,0
212,voiced AI.,0,0
417,Add google,0,0
425,I cant say,1,0
201,i dont know,1,0
311,"The source ",0,0
279,Refferences,0,0
318,Data source,0,0
418,Interaction,0,0
171,i dont know,1,0
275,Site listed,0,0
176,programmers,0,0
415,credibility,0,0
273,"Punctuation ",0,0
303,Source check,0,0
65,i don't know,1,0
206,I don't know,1,0
209,"Time travel ",1,0
288,lastest data,0,0
75,Add a source,0,0
25,Sources name,0,0
322,Adding dates,0,0
16,No fake news!,0,0
315,I am not sure,1,0
167,Fact checking,0,0
26,I don’t  know,1,0
135,"Opinion poll ",0,0
95,"I don't know ",1,0
247,Social media.,0,0
336,source finder,0,0
222,read out loud,0,0
409,fact-checking,0,0
172,cited sources,0,0
370,user interface,0,0
265,A fact checker,0,0
207,Resource check,0,0
266,Tone detection,0,0
262,SOurce Checker,0,0
292,"Second option ",0,0
177,search function,0,0
143,"nothing really ",1,0
49,name the source,0,0
363,"text to speech ",0,0
320,Not really sure,1,0
92,"A unsure option ",0,0
327,Cross references,0,0
202,Positive results,0,0
420,medial and techn,0,0
173,Links to sources,0,0
396,Links to sources,0,0
38,Adding in sources,0,0
398,Adding source url,0,0
119,Browser extension,0,0
298,"See user comments ",0,0
412,Showing the source,0,0
310,"To see the source ",0,0
325,source information,0,0
385,Source information,0,0
205,"Nothing additional ",1,0
324,age broups of users,0,0
245,"Key points summary ",0,0
323,Date of publication,0,0
350,This is good as is.,1,0
96,"Sentiment detection ",0,0
133,i dont have idea now,1,0
422,pointing out sources,0,0
368,URL links to sources,0,0
334,Cited sources section,0,0
76,Multi Article Compare,0,0
186,hover over info boxes,0,0
89,A human fact checker.,0,0
228,links to other sources,0,0
259,additional information,0,0
112,Rating of all sources.,0,0
264,verification of source,0,0
134,more reliable software,0,0
380,2nd source comparisons,0,0
341,"Not sure at the moment ",1,0
163,highlighting the errors,0,0
330,"Display functionality. ",0,0
162,Putting the news source,0,0
22,links from other sources,0,0
17,read the article outloud,0,0
166,"adding the news sources ",0,0
302,Explanation of decisions,0,1
66,adding a list of sources,0,0
122,It's good the way it is.,1,0
400,video report generation.,0,0
179,Reveal source of article,0,0
401,Source citing with links.,0,0
383,I can't think of anything,1,0
406,If the sources were added,0,0
115,reading the article aloud,0,0
297,I can't think of anything,1,0
354,everything is good so far,0,0
389,Websites with information,0,0
263,Supporting documentation.,0,0
108,Name of author of article,0,0
411,Original origin of source.,0,0
20,more info about the source,0,0
68,i think everything is good,1,0
165,Options about the arricles,0,0
353,"Citation of news articles. ",0,0
348,"Ability to cross reference ",0,0
151,"The source of information. ",0,0
58,other articles relacionaded,0,0
407,Links to source information.,0,0
308,can't think of anything else,1,0
193,Link to original publication,0,0
390,Information about the writer.,0,0
60,name the source of infomation,0,0
144,Links provided for the source,0,0
242,Not sure additions are needed,1,0
369,To have it automate functions,0,0
87,better way at obtain fake news,0,0
424,"Links to relevant information ",0,0
244,cross-referencing capabilities,0,0
254,"Spelling checks, source checks",0,0
384,a link to the original article,0,0
39,Judging reliability of sources,0,0
184,A link to the original article,0,0
12,Article title links to address,0,0
32,Automatic deletion of fake news,0,0
299,Whoever wrote the fake articles,0,0
293,two different AI would be good.,0,0
395,nothing i can think of i like AI,1,0
105,I can't think of anything to add,1,0
382,"Listing facts from other sources ",0,0
189,Highlight sources of information.,0,0
43,trustworthiness meter on articles,0,0
41,"the actual naming of the sources ",0,0
403,"fake image or picture recognition ",0,0
74,Showing how AI came to that rating,0,1
183,adding a grammar proofread feature,0,0
55,"Visibility in the criteria used.  ",0,0
372,I cannot think of any at this time,1,0
57,Just a few side note or references,0,0
146,I think the functionality is great.,1,0
386,Stating the actual source correctly,0,0
61,better information about the source,0,0
29,Can't think of anything else to add,1,0
376,Evaluation of inflammatory language,0,0
256,Can't think of anything immediatly.,1,0
91,Providing the source of the article,0,0
309,Info on those who programmed the AI,0,0
30,"A link that takes you to the source ",0,0
45,addition of the author and publisher,0,0
268,maybe a score of trust in publisher?,0,0
349,"Having availability in smartphones. ",0,0
342,I think the author's name might help.,0,0
116,"Seeing the AI function in real time. ",0,1
128,having other sources to prove validity,0,0
187,"the time it takes to read the article ",0,0
248,tips that gives you a heads up or tips,0,0
157,"I don't think it needs a good addition ",1,0
286,"not sure, it seems pretty comprehensive",1,0
114,Listing similar articles about the topic,0,0
129,"Show the AI percentage rate of accuracy ",0,0
270,Having a sentence by sentence break down,0,0
44,To see why AI rated it the way they did.,0,1
393,A BACKGROUND OF THE SOURCE OF INFORMATION,0,0
416,Providing links to the source of the news,0,0
305,Give insight to the bias of news sources.,0,0
194,Sponsor of article or where it was posted,0,0
23,Annotate hyperlinks from credible sources.,0,0
413,In broswer addon or drag and drop checking,0,0
339,Providing factual references to the claims,0,0
283,I cannot think of anything at this moment.,1,0
34,Follow up information to the main article.,0,0
169,Acessing the writer of the article's biases,0,0
14,A comment section on the AI's determination!,0,0
147,Providing more information regarding source.,0,0
285,Including the author and a bio of the author,0,0
295,"Highlighting potentially biased information ",0,0
139,ability to detect grammar and citing sources,0,0
405,"Source name, not just source trustworthiness ",0,0
356,"Knowing the truth and knowing what is a lie. ",0,0
83,Secondary sources to back up original article,0,0
78,Proof of lies and links to proven true source,0,0
214,A page of references and correlating websites.,0,0
290,Source information and trustworthiness rating.,0,0
102,Knowing the original source of the information.,0,0
423,"Links to to where the information was obtained ",0,0
138,"Cross-referencing, numbers of related citations",0,0
226,"Verification with other trusted news sources.  ",0,0
301,Political bias and personal opinion eliminator.,0,0
111,Highlighting specific false parts of  articles.,0,1
33,Abitlity to see where the information comes from,0,0
101,"Knowing the basis ai uses to mke its evaluation ",0,0
344,"To check where the AI received it's information. ",0,1
67,A link to view the article and not just the text.,0,0
255,stating if the article is an opinion piece or not.,0,0
387,Citing its sources for details about the articles.,0,0
140,"provide the source or reason why its a bad source ",0,1
213,"To see if any part of the article is plagiarized. ",0,0
168,Weighing out emotional pull vs. Informational pull,0,0
333,sources for information that counters the fake new,0,0
419,I would like to see a list how it is fact checking.,0,0
200,Great if it recommends alternative articles as well,0,0
107,Flagging websites that may contain false information,0,0
224,"Maybe more explanation on the truthfulness/ fatness ",0,0
178,what about the pictures in the articles are they real,0,0
51,A longer explanation of how an article is unreliable.,0,0
360,would need more interaction with the tool to determine,1,0
21,The ability to suggest corrections to the AI judgement,0,0
125,The source that the information comes from and the URL.,0,0
364,"i cannot think of any new ideas.  it's almost perfect. ",1,0
197,A spelling and grammar check would be a great addition.,0,0
110,results view or overall users percentage compared to AI,0,0
394,to be impartial and not add any unnecessary information,0,0
6,"The AI system has the functionality I need for my work ",0,0
345,The ability to provide a link to the source article page.,0,0
82,"link to similar articles, or link to disprove the article",0,0
276,I couldn't think of anything thats not being used already,1,0
421,"to link the same news or topic published by other sources ",0,0
220,"At least one other source to corroborate the information. ",0,0
258,The name of the source where the news came from originally,0,0
190,somehow realizing that certain sources are not trustworthy,0,0
148,Explanations of how phrases affected the truthfulness meter,0,1
70,Facts about this topic in general to prove its truthfulness,0,0
